R2;na;nb;nc;nk
75.1578565;2;2;1;0
75.15909427;2;2;1;1
75.15670565;2;2;1;2
70.74190368;2;2;2;0
70.72596973;2;2;2;1
70.56556939;2;2;2;2
70.74190368;2;2;2;0
75.38732504;2;2;3;0
75.36635635;2;2;4;0
31.23772852;2;2;5;0
75.21709608;2;2;6;0
14.72175241;2;2;7;0
75.18569385;3;3;1;0
75.19110892;3;3;1;1
75.18698256;3;3;1;2
75.29357401;3;3;2;0
75.2989169;3;3;2;1
75.30137791;3;3;2;2
75.29357401;3;3;2;0
17.93243804;3;3;3;0
8.928605673;3;3;4;0
26.31997032;3;3;5;0
11.15222569;3;3;6;0
11.48070148;3;3;7;0
74.29285325;4;4;1;0
74.32240517;4;4;1;1
74.31162027;4;4;1;2
4.340447169;4;4;2;0
16.33268876;4;4;2;1
20.3016123;4;4;2;2
4.340447169;4;4;2;0
3.726197394;4;4;3;0
17.61568512;4;4;4;0
20.68199537;4;4;5;0
21.28323382;4;4;6;0
14.13023367;4;4;7;0
16.01895209;5;5;2;0
74.40617698;5;5;2;1
74.39857589;5;5;2;2
18.03236269;5;5;3;0
21.02582891;5;5;3;1
21.78529064;5;5;3;2
8.001524964;6;6;2;0
14.40714878;6;6;2;1
16.65181315;6;6;2;2
-14.78503447;6;6;3;0
-13.41532951;6;6;3;1
-5.053125231;6;6;3;2
5.064984403;7;7;2;0
10.92398522;7;7;2;1
12.39324603;7;7;2;2
7.161332658;7;7;3;0
13.96544846;7;7;3;1
-14.72613375;7;7;3;2
-4.956159754;8;8;2;0
2.813965887;8;8;2;1
8.05034553;8;8;2;2
-21.95211965;8;8;3;0
-15.36871056;8;8;3;1
-7.339714611;8;8;3;2
-14.39548361;9;9;2;0
-3.373373506;9;9;2;1
4.710832808;9;9;2;2
-4.920395127;9;9;3;0
-17.51722907;9;9;3;1
13.01946291;9;9;3;2
-19.74738897;10;10;2;0
-6.107647357;10;10;2;1
2.599077695;10;10;2;2
-24.89133408;10;10;3;0
-11.58180611;10;10;3;1
-3.343800135;10;10;3;2
