R2;na;nb;nc;nk;;;;;;;;;;;;;
57.50344861;2;2;1;0;;;Subtract mean value;;;;;;Subtract the linear trend(least_squares fit);;;;
57.5055226;2;2;1;1;;;R2;na;nb;nc;nk;;;;;;
57.50377783;2;2;1;2;;;;;;;;;;;;;
55.94075733;2;2;2;0;;;-412.3231169;2;2;2;0;;-395.2480449;2;2;2;0
55.93393385;2;2;2;1;;;;;;;;;;;;;
55.81636145;2;2;2;2;;;;;;;;;;;;;
55.94075733;2;2;2;0;;;;;;;;;;;;;
58.23661964;2;2;3;0;;;69.08402626;2;2;3;0;;69.25696932;2;2;3;0
58.33920907;2;2;4;0;;;68.73588114;2;2;4;0;;68.86770294;2;2;4;0
-5.933421517;2;2;5;0;;;-110.469121;2;2;5;0;;-111.4957217;2;2;5;0
58.15237271;2;2;6;0;;;66.9339226;2;2;6;0;;67.12915469;2;2;6;0
-31.21784461;2;2;7;0;;;-135.8223362;2;2;7;0;;-134.0413176;2;2;7;0
57.68170641;3;3;1;0;;;;;;;;;;;;;
57.68340423;3;3;1;1;;;;;;;;;;;;;
57.68210392;3;3;1;2;;;;;;;;;;;;;
57.82586914;3;3;2;0;;;;;;;;;;;;;
57.83230993;3;3;2;1;;;;;;;;;;;;;
57.82672625;3;3;2;2;;;;;;;;;;;;;
57.82586914;3;3;2;0;;;70.47827622;3;3;2;0;;70.69102461;3;3;2;0
-8.91E+76;3;3;3;0;;;-3.01E+83;3;3;3;0;;-2.88E+83;3;3;3;0
-2.45E+104;3;3;4;0;;;-4.65277E+13;3;3;4;0;;-2510163.775;3;3;4;0
-4.18E+56;3;3;5;0;;;-6.55E+60;3;3;5;0;;-2.46E+56;3;3;5;0
-1.93E+50;3;3;6;0;;;-225.7997654;3;3;6;0;;64.00434805;3;3;6;0
-25.75646806;3;3;7;0;;;-259.3316184;3;3;7;0;;-238.2864369;3;3;7;0
59.21163129;4;4;1;0;;;;;;;;;;;;;
59.29974277;4;4;1;1;;;;;;;;;;;;;
59.27379824;4;4;1;2;;;;;;;;;;;;;
-6430.929378;4;4;2;0;;;;;;;;;;;;;
-5.39E+76;4;4;2;1;;;;;;;;;;;;;
-1.52E+71;4;4;2;2;;;;;;;;;;;;;
-6.43E+03;4;4;2;0;;;-9.85E+23;4;4;2;0;;-3.56E+58;4;4;2;0
-4.32E+01;4;4;3;0;;;70.51509521;4;4;3;0;;71.51846846;4;4;3;0
-3.99E+78;4;4;4;0;;;-136.589066;4;4;4;0;;NaN;4;4;4;0
-1.51E+74;4;4;5;0;;;69.1470912;4;4;5;0;;-126.9551434;4;4;5;0
-4.20E+12;4;4;6;0;;;-173.7472674;4;4;6;0;;-5.26E+78;4;4;6;0
-2.25E+01;4;4;7;0;;;-222.8826073;4;4;7;0;;-231.5429745;4;4;7;0
-7.25E+78;5;5;2;0;;;;;;;;;;;;;
59.37242425;5;5;2;1;;;;;;;;;;;;;
59.35814982;5;5;2;2;;;;;;;;;;;;;
-4.22E+78;5;5;3;0;;;;;;;;;;;;;
-8.62E+69;5;5;3;1;;;;;;;;;;;;;
-5.94E+62;5;5;3;2;;;;;;;;;;;;;
-2.10E+68;6;6;2;0;;;;;;;;;;;;;
-3.01E+63;6;6;2;1;;;;;;;;;;;;;
-1.82E+61;6;6;2;2;;;;;;;;;;;;;
-13956.94959;6;6;3;0;;;;;;;;;;;;;
-946667.3512;6;6;3;1;;;;;;;;;;;;;
-48.40795717;6;6;3;2;;;;;;;;;;;;;
-4.99E+67;7;7;2;0;;;;;;;;;;;;;
-1.10E+48;7;7;2;1;;;;;;;;;;;;;
-7.03E+56;7;7;2;2;;;;;;;;;;;;;
-7.48E+78;7;7;3;0;;;;;;;;;;;;;
-7.12E+64;7;7;3;1;;;;;;;;;;;;;
-34705827.94;7;7;3;2;;;;;;;;;;;;;
-4.02E+43;8;8;2;0;;;;;;;;;;;;;
-6.46E+44;8;8;2;1;;;;;;;;;;;;;
-2.06E+41;8;8;2;2;;;;;;;;;;;;;
-2.04E+12;8;8;3;0;;;;;;;;;;;;;
-650403740.6;8;8;3;1;;;;;;;;;;;;;
-1209298.397;8;8;3;2;;;;;;;;;;;;;
-2.68E+35;9;9;2;0;;;;;;;;;;;;;
-9.09E+34;9;9;2;1;;;;;;;;;;;;;
-3.85E+31;9;9;2;2;;;;;;;;;;;;;
-1.74E+43;9;9;3;0;;;;;;;;;;;;;
-58146627835;9;9;3;1;;;;;;;;;;;;;
-35.11824605;9;9;3;2;;;;;;;;;;;;;
-1.48E+23;10;10;2;0;;;;;;;;;;;;;
-7.85E+21;10;10;2;1;;;;;;;;;;;;;
-7.07E+20;10;10;2;2;;;;;;;;;;;;;
-9.71E+16;10;10;3;0;;;;;;;;;;;;;
-3.23E+13;10;10;3;1;;;;;;;;;;;;;
-25045896.19;10;10;3;2;;;;;;;;;;;;;
