R2;na;nb;nc;nk;;;;;;;;;;;;
-0.004440469;2;2;1;0;;Subtract mean value;;;;;;Subtract the linear trend(least_squares fit);;;;
-0.003699812;2;2;1;1;;R2;na;nb;nc;nk;;;;;;
-0.003166149;2;2;1;2;;;;;;;;;;;;
-0.001370676;2;2;2;0;;-93.31495571;2;2;2;0;;-98.01873779;2;2;2;0
-0.001325769;2;2;2;1;;;;;;;;;;;;
-0.001375288;2;2;2;2;;;;;;;;;;;;
-0.001370676;2;2;2;0;;;;;;;;;;;;
-0.005789636;2;2;3;0;;-93.5130482;2;2;3;0;;-98.22500553;2;2;3;0
-0.005981748;2;2;4;0;;-93.50297611;2;2;4;0;;-98.21379949;2;2;4;0
-41.50297687;2;2;5;0;;-94.45824038;2;2;5;0;;-98.49034686;2;2;5;0
-0.005873258;2;2;6;0;;-93.46080008;2;2;6;0;;-98.17346295;2;2;6;0
-1.311253142;2;2;7;0;;-93.76455626;2;2;7;0;;-98.27834301;2;2;7;0
-0.003668436;3;3;1;0;;;;;;;;;;;;
-0.003499045;3;3;1;1;;;;;;;;;;;;
-0.00346941;3;3;1;2;;;;;;;;;;;;
-0.004000881;3;3;2;0;;;;;;;;;;;;
-0.003401118;3;3;2;1;;;;;;;;;;;;
-0.003562091;3;3;2;2;;;;;;;;;;;;
-0.004000881;3;3;2;0;;-93.52033392;3;3;2;0;;-98.23297179;3;3;2;0
-1.66E+79;3;3;3;0;;-5.50E+85;3;3;3;0;;-1.34E+86;3;3;3;0
-1.22E+106;3;3;4;0;;-3.76E+16;3;3;4;0;;-2340850179;3;3;4;0
-4.99E+58;3;3;5;0;;-2.82E+63;3;3;5;0;;-1.23E+59;3;3;5;0
-4.55E+52;3;3;6;0;;-1940.961844;3;3;6;0;;-98.17388134;3;3;6;0
-2853.783946;3;3;7;0;;-1548.957351;3;3;7;0;;-23741.24714;3;3;7;0
-805298.9939;4;4;2;0;;;;;;;;;;;;
-4652.456178;4;4;3;0;;;;;;;;;;;;
-2.03E+81;4;4;4;0;;;;;;;;;;;;
-5.48E+76;4;4;5;0;;;;;;;;;;;;
-6.05E+14;4;4;6;0;;;;;;;;;;;;
-7113.010988;4;4;7;0;;;;;;;;;;;;
-0.060166811;4;4;1;0;;-5.03E+26;4;4;2;0;;-1.14E+61;4;4;2;0
-0.020222706;4;4;1;1;;-93.52140154;4;4;3;0;;-98.23244588;4;4;3;0
-0.069931115;4;4;1;2;;-122542.704;4;4;4;0;;NaN;4;4;4;0
-805298.9939;4;4;2;0;;-93.51718146;4;4;5;0;;-103.3277089;4;4;5;0
-2.22E+79;4;4;2;1;;-100.2237295;4;4;6;0;;-1.61E+81;4;4;6;0
-1.70E+82;4;4;2;2;;-652.3243511;4;4;7;0;;-525.5424013;4;4;7;0
-1.95E+81;5;5;2;0;;;;;;;;;;;;
-0.012434734;5;5;2;1;;;;;;;;;;;;
-0.09729545;5;5;2;2;;;;;;;;;;;;
-5.54E+80;5;5;3;0;;;;;;;;;;;;
-1.34E+72;5;5;3;1;;;;;;;;;;;;
-2.70E+74;5;5;3;2;;;;;;;;;;;;
-7.24E+70;6;6;2;0;;;;;;;;;;;;
-3.72E+65;6;6;2;1;;;;;;;;;;;;
-3.16E+72;6;6;2;2;;;;;;;;;;;;
-2765627.351;6;6;3;0;;;;;;;;;;;;
-176035680.3;6;6;3;1;;;;;;;;;;;;
-39483601809;6;6;3;2;;;;;;;;;;;;
-1.26E+70;7;7;2;0;;;;;;;;;;;;
-1.48E+50;7;7;2;1;;;;;;;;;;;;
-2.91E+67;7;7;2;2;;;;;;;;;;;;
-1.49E+81;7;7;3;0;;;;;;;;;;;;
-3.76E+67;7;7;3;1;;;;;;;;;;;;
-1.09E+18;7;7;3;2;;;;;;;;;;;;
-2.40E+45;8;8;2;0;;;;;;;;;;;;
-1.75E+47;8;8;2;1;;;;;;;;;;;;
-6.04E+52;8;8;2;2;;;;;;;;;;;;
-3.88E+14;8;8;3;0;;;;;;;;;;;;
-1.73E+11;8;8;3;1;;;;;;;;;;;;
-1.53E+16;8;8;3;2;;;;;;;;;;;;
-7.66E+37;9;9;2;0;;;;;;;;;;;;
-1.85E+37;9;9;2;1;;;;;;;;;;;;
-1.18E+43;9;9;2;2;;;;;;;;;;;;
-4.23E+45;9;9;3;0;;;;;;;;;;;;
-8.47E+12;9;9;3;1;;;;;;;;;;;;
-291.4020169;9;9;3;2;;;;;;;;;;;;
-3.57E+25;10;10;2;0;;;;;;;;;;;;
-7.21E+23;10;10;2;1;;;;;;;;;;;;
-2.89E+32;10;10;2;2;;;;;;;;;;;;
-4.16E+19;10;10;3;0;;;;;;;;;;;;
-3.24E+15;10;10;3;1;;;;;;;;;;;;
-3.84E+18;10;10;3;2;;;;;;;;;;;;
